filename, language, JavaScript, JSON, TypeScript, HTML, CSS, XML, Markdown, Log, comment, blank, total
src/utils/calcEnabledApplianceLabels.js, JavaScript, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
src/utils/calcHybridColumns.js, JavaScript, 87, 0, 0, 0, 0, 0, 0, 0, 63, 27, 177
src/utils/calcMaxApplianceLoad.js, JavaScript, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
src/utils/calcSummaryStats.js, JavaScript, 155, 0, 0, 0, 0, 0, 0, 0, 115, 31, 301
src/utils/calcTimeSegments.js, JavaScript, 101, 0, 0, 0, 0, 0, 0, 0, 23, 16, 140
src/utils/columnDetectors.js, JavaScript, 50, 0, 0, 0, 0, 0, 0, 0, 0, 5, 55
src/utils/columnHeaders.js, JavaScript, 81, 0, 0, 0, 0, 0, 0, 0, 9, 9, 99
src/utils/constants.js, JavaScript, 84, 0, 0, 0, 0, 0, 0, 0, 19, 16, 119
src/utils/fieldDefinitions.js, JavaScript, 373, 0, 0, 0, 0, 0, 0, 0, 12, 4, 389
src/utils/fileInfo.js, JavaScript, 191, 0, 0, 0, 0, 0, 0, 0, 40, 4, 235
src/utils/filterCombinedTableHeaders.js, JavaScript, 14, 0, 0, 0, 0, 0, 0, 0, 4, 2, 20
src/utils/helpers.js, JavaScript, 193, 0, 0, 0, 0, 0, 0, 0, 59, 41, 293
src/utils/importFileHelpers.js, JavaScript, 62, 0, 0, 0, 0, 0, 0, 0, 10, 5, 77
src/utils/logger.js, JavaScript, 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
src/utils/loggerConfig.js, JavaScript, 35, 0, 0, 0, 0, 0, 0, 0, 2, 5, 42
src/utils/predictBatteryEnergyContent.js, JavaScript, 45, 0, 0, 0, 0, 0, 0, 0, 8, 7, 60
src/utils/predictBatteryEnergyContent.test.js, JavaScript, 94, 0, 0, 0, 0, 0, 0, 0, 5, 14, 113
src/utils/saveFile.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
src/utils/setAncillaryEquipmentValues.js, JavaScript, 205, 0, 0, 0, 0, 0, 0, 0, 8, 25, 238
src/utils/sumApplianceColumns.js, JavaScript, 33, 0, 0, 0, 0, 0, 0, 0, 9, 4, 46
src/utils/trainLossCoeffBatteryModel.js, JavaScript, 35, 0, 0, 0, 0, 0, 0, 0, 34, 11, 80
src/utils/trainMlrBatteryModel.js, JavaScript, 59, 0, 0, 0, 0, 0, 0, 0, 37, 10, 106
src/utils/trainPolyBatteryModel.js, JavaScript, 29, 0, 0, 0, 0, 0, 0, 0, 8, 6, 43
tsconfig.json, JSON, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
tsconfig.paths.json, JSON, 0, 5, 0, 0, 0, 0, 0, 0, 3, 0, 8
yarn-error.log, Log, 0, 0, 0, 0, 0, 0, 0, 9837, 0, 1498, 11335
Total, -, 9380, 154, 8, 25, 28696, 5853, 433, 9837, 5601, 10363, 70350
